,carat,cut,color,clarity,depth,table,price,x,y,z,volume,ratio_xy
14160,1.31,Premium,I,SI2,60.5,59.0,5744,7.11,7.04,4.28,214.23283200000003,1.0099431818181819
41696,0.49,Premium,G,VS2,59.8,59.0,1240,5.16,5.14,3.08,81.688992,1.0038910505836576
4599,1.02,Good,H,SI2,64.0,57.0,3656,6.41,6.37,4.09,167.001653,1.0062794348508635
1039,0.91,Premium,J,SI1,62.8,59.0,2905,6.19,6.14,3.87,147.085542,1.0081433224755703
4209,0.73,Very Good,E,VVS2,60.2,60.0,3565,5.81,5.85,3.51,119.29963499999998,0.9931623931623932
26698,0.31,Ideal,G,SI2,61.6,55.6,429,4.34,4.37,2.69,51.018002,0.9931350114416475
36785,0.34,Ideal,G,VVS1,62.5,53.0,956,4.49,4.47,2.8,56.196839999999995,1.0044742729306488
46168,0.5,Premium,E,VS2,61.4,58.0,1746,5.12,5.07,3.13,81.249792,1.009861932938856
856,0.82,Ideal,H,VS2,59.5,57.0,2870,6.12,6.09,3.63,135.293004,1.0049261083743843
18088,1.22,Premium,H,VS2,60.8,59.0,7310,6.93,6.86,4.19,199.191762,1.010204081632653
3565,0.86,Fair,G,VS2,66.5,54.1,3418,5.89,5.97,3.94,138.543402,0.9865996649916248
34050,0.36,Premium,D,SI1,60.1,57.0,851,4.66,4.62,2.79,60.066468,1.0086580086580086
31601,0.2,Premium,D,VS2,62.3,60.0,367,3.73,3.68,2.31,31.707984,1.013586956521739
5003,0.91,Premium,E,SI2,61.6,60.0,3743,6.14,6.1,3.77,141.20157999999998,1.0065573770491802
50512,0.71,Premium,E,SI2,61.8,57.0,2271,5.73,5.67,3.52,114.361632,1.0105820105820107
10154,1.1,Premium,D,SI2,62.4,58.0,4725,6.6,6.57,4.11,178.21782000000002,1.004566210045662
40962,0.42,Ideal,G,VVS1,62.0,56.0,1179,4.81,4.84,2.99,69.608396,0.993801652892562
39410,0.41,Premium,F,VS1,59.9,58.0,1076,4.84,4.81,2.89,67.280356,1.0062370062370063
6800,0.73,Very Good,D,VS1,61.1,59.0,4116,5.79,5.86,3.56,120.78866400000001,0.9880546075085324
26745,3.01,Ideal,J,I1,65.4,60.0,16538,8.99,8.93,5.86,470.444902,1.0067189249720045
33865,0.3,Ideal,E,VS2,62.1,55.0,844,4.35,4.32,2.69,50.55047999999999,1.0069444444444442
42727,0.37,Ideal,F,VVS1,59.2,57.0,1342,4.71,4.75,2.8,62.642999999999994,0.991578947368421
49856,0.67,Premium,H,VVS2,60.6,61.0,2171,5.65,5.61,3.41,108.08506500000001,1.0071301247771836
28827,0.41,Premium,E,SI2,60.0,59.0,683,4.78,4.82,2.88,66.354048,0.991701244813278
36255,0.41,Ideal,E,VS2,62.3,56.0,935,4.74,4.77,2.96,66.925008,0.9937106918238995
30803,0.31,Good,F,VVS1,63.6,61.0,742,4.21,4.25,2.69,48.130824999999994,0.9905882352941177
14876,0.92,Ideal,G,VS2,62.0,57.0,5989,6.21,6.24,3.86,149.57654399999998,0.9951923076923076
16797,1.22,Premium,G,SI1,63.0,57.0,6695,6.84,6.74,4.28,197.314848,1.0148367952522255
34205,0.33,Premium,F,VS2,62.1,59.0,854,4.44,4.39,2.74,53.40698400000001,1.0113895216400912
14684,1.29,Premium,H,SI2,60.1,58.0,5924,7.02,6.95,4.2,204.9138,1.0100719424460431
37812,0.35,Ideal,G,IF,61.3,55.0,1001,4.57,4.6,2.81,59.071819999999995,0.9934782608695654
4739,0.3,Ideal,F,VS2,61.9,54.0,573,4.29,4.33,2.67,49.597119,0.9907621247113164
24847,1.73,Ideal,I,VS1,61.4,57.0,13250,7.7,7.65,4.71,277.44255,1.0065359477124183
36750,0.33,Ideal,F,VVS1,61.9,55.0,955,4.42,4.44,2.74,53.771952000000006,0.9954954954954954
14669,1.51,Fair,F,SI2,65.4,56.0,5919,7.2,7.08,4.67,238.05792,1.0169491525423728
26346,0.32,Very Good,G,VS1,62.8,58.0,645,4.34,4.39,2.74,52.204124,0.9886104783599089
34240,0.4,Premium,D,SI2,62.2,58.0,855,4.75,4.71,2.94,65.77515,1.0084925690021231
46800,0.7,Premium,F,SI2,60.6,57.0,1806,5.81,5.74,3.5,116.72289999999998,1.0121951219512193
21924,1.54,Ideal,I,VS2,61.9,55.8,9998,7.38,7.43,4.58,251.136972,0.9932705248990579
17515,1.25,Ideal,I,VS1,61.4,58.0,7042,6.89,6.93,4.24,202.450248,0.9942279942279942
37330,0.45,Fair,E,VS2,66.9,60.0,980,4.78,4.71,3.18,71.593884,1.0148619957537155
9190,1.04,Ideal,F,SI2,62.6,57.0,4547,6.45,6.48,4.05,169.27380000000002,0.9953703703703703
46352,0.51,Ideal,E,VS1,60.9,56.0,1759,5.16,5.22,3.16,85.11523199999999,0.9885057471264369
20962,1.2,Ideal,F,VS2,62.7,57.0,9176,6.71,6.76,4.22,191.417512,0.992603550295858
51519,0.72,Ideal,G,SI1,63.0,56.0,2385,5.71,5.68,3.59,116.433752,1.005281690140845
29282,0.25,Very Good,F,VS1,59.6,56.0,436,4.13,4.16,2.47,42.43657600000001,0.9927884615384615
15018,1.0,Premium,G,VS2,60.6,60.0,6048,6.4,6.3,3.85,155.232,1.015873015873016
37071,0.41,Ideal,F,SI1,62.8,57.0,969,4.73,4.69,2.96,65.66375200000002,1.0085287846481876
44109,0.51,Ideal,G,VS2,61.3,55.0,1557,5.16,5.19,3.17,84.89386800000001,0.9942196531791907
19787,1.64,Very Good,F,SI2,63.2,57.0,8357,7.56,7.47,4.75,268.2477,1.0120481927710843
47646,0.23,Ideal,F,VVS2,60.9,57.0,530,3.95,3.97,2.41,37.792415000000005,0.9949622166246851
52592,0.72,Very Good,F,SI1,62.3,57.0,2540,5.72,5.77,3.58,118.15575199999999,0.9913344887348354
29464,0.32,Ideal,E,VS2,61.7,55.0,702,4.36,4.42,2.71,52.224952,0.9864253393665159
36712,0.33,Ideal,E,VVS2,61.8,56.0,953,4.46,4.44,2.75,54.45660000000001,1.0045045045045045
41357,0.38,Ideal,F,IF,62.2,54.0,1218,4.65,4.68,2.9,63.1098,0.9935897435897437
42358,0.59,Very Good,F,SI2,63.4,57.0,1301,5.32,5.28,3.36,94.38105600000002,1.0075757575757576
11794,1.12,Very Good,G,SI1,62.5,58.0,5088,6.6,6.64,4.14,181.43135999999998,0.9939759036144579
45590,0.52,Premium,G,VS1,62.6,59.0,1689,5.08,5.11,3.19,82.80857200000001,0.9941291585127201
7018,1.0,Good,F,SI1,63.7,58.0,4158,6.29,6.34,4.02,160.31197199999997,0.9921135646687698
46086,0.49,Good,D,VS1,57.5,60.0,1738,5.18,5.25,3.0,81.58500000000001,0.9866666666666666
41714,0.53,Ideal,D,SI2,61.7,55.0,1243,5.2,5.24,3.22,87.73856,0.9923664122137404
53052,0.7,Ideal,H,VS2,62.8,55.0,2607,5.67,5.63,3.55,113.323455,1.0071047957371226
47288,0.3,Very Good,F,SI2,62.6,61.0,394,4.2,4.24,2.64,47.01312000000001,0.9905660377358491
44087,0.52,Very Good,G,VS1,59.1,60.0,1554,5.24,5.19,3.08,83.762448,1.0096339113680153
46441,0.6,Very Good,F,VS2,62.1,57.0,1772,5.37,5.39,3.34,96.67396199999999,0.9962894248608535
19015,1.57,Very Good,J,VS2,62.6,59.0,7832,7.39,7.43,4.64,254.77172799999997,0.9946164199192463
24974,1.51,Premium,F,VS2,62.2,60.0,13474,7.25,7.34,4.54,241.59609999999998,0.9877384196185286
35634,0.29,Very Good,E,VS1,62.8,44.0,474,4.2,4.24,2.65,47.19120000000001,0.9905660377358491
4621,0.91,Ideal,G,SI2,62.3,56.0,3664,6.18,6.22,3.86,148.376856,0.9935691318327974
15010,1.22,Premium,D,SI2,62.0,60.0,6046,6.8,6.74,4.2,192.4944,1.0089020771513353
23472,1.57,Premium,H,VS2,61.0,59.0,11470,7.5,7.54,4.59,259.56449999999995,0.9946949602122016
8016,0.92,Ideal,H,VS1,60.9,57.0,4328,6.33,6.29,3.84,152.89228799999998,1.0063593004769475
41969,0.23,Very Good,E,VVS2,61.2,60.0,505,3.92,3.96,2.41,37.410912,0.98989898989899
906,0.7,Good,H,VVS1,62.7,56.0,2877,5.6,5.66,3.53,111.88687999999999,0.989399293286219
27110,2.16,Ideal,E,SI2,61.4,57.0,17263,8.36,8.33,5.12,356.55065599999995,1.0036014405762304
49691,0.51,Ideal,D,VVS2,62.0,55.0,2145,5.13,5.16,3.19,84.441852,0.9941860465116279
19171,1.17,Ideal,F,VS2,61.8,55.0,7927,6.74,6.81,4.19,192.318486,0.9897209985315714
40689,0.5,Premium,H,SI1,59.0,59.0,1156,5.22,5.18,3.07,83.01157199999999,1.0077220077220077
45348,0.59,Very Good,G,VS2,61.1,57.0,1664,5.4,5.43,3.31,97.05582,0.9944751381215471
44890,0.5,Premium,E,VS2,61.4,58.0,1629,5.1,5.07,3.12,80.67384,1.0059171597633134
49204,0.7,Ideal,I,SI2,62.1,57.0,2079,5.66,5.71,3.53,114.084658,0.9912434325744308
20807,1.58,Very Good,G,SI2,60.0,53.0,9037,7.59,7.64,4.57,265.003332,0.993455497382199
4170,1.03,Premium,I,VS1,61.6,58.0,3553,6.5,6.42,3.98,166.0854,1.0124610591900312
44668,0.32,Ideal,H,VS2,61.5,55.0,523,4.41,4.44,2.72,53.25868800000001,0.9932432432432432
30552,0.31,Premium,E,VS1,60.0,59.0,734,4.38,4.42,2.64,51.109344,0.9909502262443439
49213,0.55,Ideal,D,VS2,58.5,58.0,2079,5.42,5.39,3.16,92.315608,1.0055658627087198
30525,0.26,Ideal,F,IF,62.0,56.0,733,4.07,4.1,2.53,42.21811,0.9926829268292684
29619,0.36,Ideal,J,SI1,62.3,53.0,439,4.59,4.62,2.87,60.860646,0.9935064935064934
24882,2.12,Premium,H,SI2,61.5,59.0,13307,8.26,8.21,5.06,343.14187599999997,1.0060901339829476
8002,1.01,Premium,G,SI2,60.1,59.0,4327,6.55,6.46,3.91,165.44383,1.0139318885448916
16018,1.32,Ideal,G,SI2,62.9,57.0,6409,6.98,6.94,4.38,212.17245600000004,1.005763688760807
3325,0.74,Ideal,E,VS2,61.7,56.0,3374,5.81,5.86,3.6,122.56775999999999,0.9914675767918087
30938,0.24,Very Good,G,VVS2,62.0,57.0,449,4.0,4.03,2.49,40.1388,0.9925558312655086
53348,0.79,Premium,F,SI1,62.8,55.0,2656,5.94,5.88,3.71,129.579912,1.0102040816326532
50284,0.37,Very Good,E,SI2,61.9,55.0,541,4.63,4.67,2.87,62.055427,0.9914346895074947
44191,0.51,Ideal,D,SI1,61.6,56.0,1569,5.1,5.12,3.15,82.2528,0.9960937499999999
48976,0.34,Ideal,H,VS2,62.5,54.0,537,4.49,4.54,2.82,57.48457200000001,0.9889867841409692
3744,0.3,Ideal,F,VS1,61.0,56.0,570,4.35,4.37,2.66,50.56527,0.9954233409610983
13820,1.53,Ideal,H,SI2,59.6,57.0,5631,7.46,7.38,4.42,243.342216,1.010840108401084
37201,0.33,Ideal,F,VVS2,60.9,56.0,974,4.47,4.5,2.73,54.91394999999999,0.9933333333333333
42454,0.5,Ideal,E,SI1,61.6,57.0,1316,5.09,5.13,3.15,82.25185499999999,0.9922027290448343
35552,0.35,Premium,H,VVS2,61.9,58.0,906,4.54,4.5,2.8,57.20399999999999,1.008888888888889
248,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,171.209445,1.006201550387597
11195,1.0,Ideal,G,SI1,62.2,57.0,4956,6.45,6.38,3.99,164.19249000000002,1.010971786833856
29664,0.35,Ideal,F,VS2,62.3,55.0,706,4.53,4.56,2.83,58.458744,0.9934210526315791
5426,1.06,Premium,J,SI2,62.0,58.0,3823,6.53,6.45,4.04,170.15874000000002,1.012403100775194
50091,0.62,Ideal,G,VS1,60.7,55.0,2206,5.55,5.59,3.38,104.86281,0.9928443649373881
10009,0.9,Very Good,E,VS2,63.0,58.0,4707,6.13,6.16,3.87,146.134296,0.9951298701298701
27907,0.41,Ideal,D,SI2,62.6,57.0,656,4.72,4.77,2.97,66.867768,0.989517819706499
27060,0.32,Very Good,D,VS2,58.8,59.0,646,4.49,4.52,2.65,53.78122,0.9933628318584072
31693,0.4,Ideal,I,VS2,61.7,57.0,770,4.73,4.77,2.93,66.106953,0.9916142557651993
38422,0.3,Premium,E,IF,61.0,59.0,1026,4.29,4.33,2.63,48.854091000000004,0.9907621247113164
37349,0.4,Premium,G,VVS2,62.0,58.0,982,4.68,4.74,2.92,64.77494399999999,0.9873417721518987
44593,0.53,Ideal,H,VS1,61.7,56.0,1607,5.22,5.18,3.21,86.79711599999999,1.0077220077220077
50590,0.7,Very Good,G,VS2,58.2,60.0,2282,5.84,5.78,3.38,114.09257600000001,1.0103806228373702
39180,0.35,Ideal,D,VS2,62.3,55.0,1063,4.54,4.52,2.82,57.86865599999999,1.004424778761062
42625,0.32,Very Good,H,VS2,60.7,61.0,505,4.39,4.41,2.67,51.690933,0.9954648526077097
32757,0.42,Premium,I,SI1,61.2,60.0,803,4.82,4.78,2.94,67.73642400000001,1.00836820083682
9086,1.2,Very Good,J,SI2,61.2,58.0,4523,6.77,6.82,4.16,192.073024,0.9926686217008797
31066,0.27,Ideal,D,VVS1,61.7,57.0,752,4.2,4.16,2.58,45.077760000000005,1.0096153846153846
42682,0.44,Very Good,E,VVS2,59.6,59.0,1337,4.98,4.99,2.97,73.80509400000003,0.9979959919839679
26215,1.56,Ideal,G,VVS2,62.3,54.0,15609,7.41,7.45,4.63,255.596835,0.9946308724832215
1717,0.32,Premium,I,VVS2,60.7,59.0,561,4.4,4.43,2.68,52.23856000000001,0.9932279909706547
28283,0.23,Ideal,G,SI1,62.0,54.0,364,3.95,3.99,2.46,38.770830000000004,0.9899749373433584
26342,0.32,Ideal,G,VS1,62.1,55.0,645,4.4,4.42,2.74,53.28752000000001,0.9954751131221721
7435,0.8,Premium,E,VVS2,62.9,59.0,4229,5.95,5.88,3.72,130.14792,1.0119047619047619
31354,0.42,Ideal,F,SI1,61.6,56.0,760,4.81,4.85,2.98,69.51892999999998,0.9917525773195877
36141,0.33,Ideal,E,VS2,61.0,57.0,928,4.46,4.43,2.71,53.543638,1.0067720090293455
9186,1.03,Very Good,D,SI2,60.9,57.0,4545,6.53,6.55,3.98,170.23057,0.9969465648854963
49592,0.72,Very Good,J,VS1,62.3,57.0,2136,5.73,5.77,3.58,118.362318,0.9930675909878685
51968,0.3,Ideal,G,SI1,62.0,55.0,545,4.28,4.3,2.66,48.954640000000005,0.9953488372093025
39355,0.44,Premium,E,VS2,60.4,59.0,1073,4.93,4.9,2.97,71.74629,1.0061224489795917
8890,1.06,Good,F,SI1,57.0,64.0,4488,6.8,6.71,3.85,175.6678,1.0134128166915053
10028,0.23,Very Good,G,VVS1,60.2,59.0,415,4.0,4.01,2.41,38.6564,0.9975062344139651
13770,1.2,Ideal,H,SI2,62.6,58.0,5613,6.74,6.81,4.24,194.613456,0.9897209985315714
11118,1.13,Ideal,I,SI1,61.4,57.0,4936,6.72,6.69,4.12,185.222016,1.0044843049327354
51027,0.76,Fair,H,SI1,61.9,70.0,2328,5.84,5.77,3.59,120.97151199999998,1.0121317157712306
38843,0.33,Very Good,D,VVS2,60.8,58.0,1050,4.47,4.48,2.72,54.469632000000004,0.997767857142857
32884,0.4,Premium,J,VS1,59.7,59.0,810,4.83,4.79,2.87,66.39945900000001,1.0083507306889352
46480,0.55,Very Good,F,VS2,61.6,56.1,1777,5.29,5.31,3.27,91.85397299999998,0.9962335216572505
35314,0.36,Ideal,F,VVS2,61.7,57.0,896,4.58,4.61,2.83,59.75205400000001,0.9934924078091105
31732,0.31,Ideal,G,VVS1,62.3,56.0,772,4.34,4.37,2.71,51.397318000000006,0.9931350114416475
53040,0.74,Ideal,G,VS2,61.3,55.0,2604,5.82,5.89,3.59,123.064482,0.9881154499151105
32226,0.31,Ideal,G,VVS1,61.9,54.0,789,4.38,4.41,2.72,52.538976000000005,0.9931972789115646
35746,0.3,Ideal,D,VS2,62.8,57.0,911,4.29,4.25,2.68,48.86310000000001,1.0094117647058825
22165,1.5,Fair,H,VS2,65.2,58.0,10206,7.12,7.06,4.62,232.23446399999997,1.0084985835694051
45661,0.54,Premium,F,SI1,62.3,58.0,1693,5.26,5.2,3.26,89.16752,1.0115384615384615
40631,0.41,Ideal,E,VS1,62.1,56.0,1153,4.78,4.75,2.96,67.2068,1.0063157894736843
53394,0.7,Ideal,F,SI1,59.8,55.0,2665,5.83,5.75,3.46,115.98785000000001,1.0139130434782608
46030,0.57,Ideal,G,VS2,61.8,56.0,1728,5.35,5.3,3.29,93.28795,1.0094339622641508
53145,0.76,Premium,H,VS2,58.7,61.0,2622,5.99,5.96,3.51,125.308404,1.00503355704698
6562,0.91,Ideal,E,VS2,62.1,55.0,4077,6.17,6.14,3.82,144.716116,1.004885993485342
7073,0.33,Ideal,G,VS2,62.5,57.0,579,4.39,4.41,2.75,53.239725,0.9954648526077097
24581,2.48,Ideal,I,SI2,62.3,57.0,12883,8.64,8.58,5.36,397.34323200000006,1.006993006993007
50041,0.9,Very Good,F,I1,61.9,59.0,2199,6.16,6.18,3.82,145.42281599999998,0.9967637540453075
3175,0.9,Premium,I,VS2,61.2,62.0,3338,6.19,6.13,3.77,143.051519,1.0097879282218598
37400,0.37,Ideal,D,VVS2,60.5,57.0,983,4.65,4.68,2.82,61.36884,0.9935897435897437
11368,1.0,Ideal,G,SI1,61.9,56.0,4997,6.37,6.45,3.97,163.113405,0.9875968992248062
4734,0.3,Ideal,F,VS2,62.2,55.0,573,4.3,4.32,2.68,49.783680000000004,0.9953703703703702
11278,1.07,Ideal,E,SI1,60.4,57.0,4973,6.62,6.56,3.98,172.84025599999998,1.0091463414634148
10117,1.02,Premium,G,SI1,60.8,58.0,4718,6.5,6.46,3.94,165.44060000000002,1.0061919504643964
2482,0.81,Premium,G,VS2,62.9,58.0,3193,5.94,5.88,3.72,129.929184,1.0102040816326532
3772,0.73,Ideal,G,VS1,60.9,59.0,3459,5.79,5.83,3.54,119.495178,0.9931389365351629
43814,0.51,Ideal,E,SI1,61.1,56.0,1443,5.2,5.17,3.17,85.22228,1.0058027079303675
7491,1.02,Premium,F,SI2,59.9,62.0,4238,6.53,6.5,3.9,165.53549999999998,1.0046153846153847
8916,1.07,Ideal,H,SI2,62.8,57.0,4494,6.58,6.5,4.11,175.78470000000002,1.0123076923076924
39144,0.41,Premium,G,VS2,62.6,58.0,1061,4.74,4.71,2.96,66.083184,1.0063694267515924
52875,0.71,Ideal,I,VS2,61.6,57.0,2582,5.7,5.62,3.49,111.79866,1.0142348754448398
5984,1.13,Good,F,SI2,64.0,58.0,3952,6.52,6.58,4.19,179.757704,0.9908814589665653
41227,0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,71.33089,0.9958932238193018
31044,0.33,Ideal,F,VVS2,62.4,55.0,750,4.43,4.45,2.77,54.606395,0.995505617977528
34226,0.4,Good,I,VS2,63.8,54.0,855,4.72,4.68,3.0,66.2688,1.0085470085470085
30996,0.3,Ideal,G,VVS1,61.7,55.0,747,4.31,4.35,2.67,50.058494999999986,0.9908045977011494
4709,0.9,Ideal,F,SI2,62.3,57.0,3679,6.19,6.17,3.85,147.040355,1.0032414910858996
21501,1.53,Premium,J,IF,61.1,58.0,9596,7.45,7.41,4.54,250.62843,1.0053981106612686
40543,0.35,Premium,E,IF,59.0,61.0,1148,4.64,4.62,2.73,58.52246399999999,1.0043290043290043
17853,1.21,Very Good,H,SI1,59.6,60.0,7203,6.93,6.94,4.13,198.629046,0.9985590778097981
12665,1.07,Ideal,I,VS1,62.0,57.0,5302,6.56,6.5,4.05,172.692,1.0092307692307692
17548,1.01,Premium,F,VS2,62.5,59.0,7062,6.41,6.32,3.98,161.234576,1.014240506329114
34796,0.4,Ideal,G,VS1,62.2,56.0,877,4.72,4.74,2.94,65.776032,0.9957805907172995
32629,0.28,Very Good,D,VS1,60.5,58.0,458,4.23,4.26,2.57,46.310885999999996,0.9929577464788734
14979,1.14,Premium,F,SI1,61.1,59.0,6033,6.75,6.7,4.11,185.87475000000003,1.007462686567164
26053,2.19,Ideal,I,SI2,62.5,56.0,15254,8.31,8.24,5.18,354.697392,1.008495145631068
47004,0.31,Ideal,F,IF,61.2,57.0,1818,4.35,4.38,2.67,50.871509999999994,0.9931506849315068
45924,0.53,Ideal,G,VS1,62.6,54.0,1721,5.16,5.19,3.24,86.76849600000001,0.9942196531791907
46629,0.3,Ideal,G,VS2,61.3,56.0,526,4.28,4.33,2.64,48.92553600000001,0.9884526558891455
51706,0.7,Very Good,F,VS2,58.9,57.0,2400,5.79,5.85,3.43,116.179245,0.9897435897435898
32662,0.31,Premium,H,VVS2,61.9,58.0,802,4.33,4.3,2.67,49.71273,1.0069767441860467
53280,0.72,Ideal,I,VS2,61.7,56.0,2650,5.75,5.8,3.56,118.72600000000001,0.9913793103448276
43396,0.5,Ideal,E,SI1,61.6,55.0,1410,5.09,5.13,3.15,82.25185499999999,0.9922027290448343
10862,1.14,Very Good,G,SI2,62.4,60.0,4875,6.6,6.67,4.14,182.25107999999997,0.9895052473763118
33173,0.38,Very Good,D,VS2,58.5,59.0,818,4.76,4.82,2.8,64.24096,0.987551867219917
52072,0.71,Very Good,E,SI1,61.9,56.0,2455,5.68,5.72,3.53,114.68828799999999,0.993006993006993
26023,0.32,Ideal,F,VS2,62.3,56.0,645,4.37,4.4,2.73,52.49244,0.9931818181818182
50618,0.31,Ideal,J,VS2,61.8,54.1,400,4.35,4.38,2.7,51.443099999999994,0.9931506849315068
319,0.75,Ideal,H,SI1,60.4,57.0,2801,5.93,5.96,3.59,126.88065199999998,0.9949664429530201
51910,0.7,Premium,H,VS1,60.2,56.0,2435,5.78,5.71,3.46,114.193148,1.0122591943957968
13961,1.51,Premium,I,SI2,61.2,62.0,5682,7.28,7.19,4.43,231.880376,1.0125173852573017
31242,0.31,Ideal,F,VS2,61.9,55.0,757,4.35,4.37,2.7,51.32565,0.9954233409610983
13356,0.24,Very Good,E,VS2,63.1,56.0,419,3.95,3.98,2.5,39.3025,0.992462311557789
8077,1.01,Good,D,SI2,63.6,57.0,4338,6.34,6.3,4.02,160.56683999999998,1.0063492063492063
25272,2.06,Premium,I,SI2,61.0,61.0,13912,8.18,8.1,5.02,332.61515999999995,1.0098765432098766
32855,0.4,Very Good,H,VS1,62.6,58.0,807,4.68,4.71,2.94,64.805832,0.9936305732484076
2511,1.02,Premium,H,I1,62.5,60.0,3199,6.41,6.39,4.0,163.8396,1.0031298904538342
32006,0.41,Ideal,J,IF,62.1,54.0,777,4.78,4.81,2.98,68.515564,0.9937629937629939
35450,0.32,Ideal,E,VS2,62.1,55.0,900,4.4,4.36,2.72,52.18048000000002,1.0091743119266054
28336,0.33,Ideal,G,VS1,62.1,54.0,666,4.42,4.47,2.76,54.53042399999999,0.9888143176733781
5501,0.93,Ideal,H,SI1,62.0,55.0,3844,6.32,6.29,3.91,155.433448,1.0047694753577108
48755,0.7,Good,G,SI1,64.0,55.0,2016,5.62,5.59,3.59,112.78272199999999,1.005366726296959
26349,0.32,Ideal,F,VS2,61.2,56.0,645,4.41,4.44,2.71,53.062884000000004,0.9932432432432432
52571,0.7,Ideal,H,VS2,63.0,55.0,2536,5.7,5.67,3.58,115.70202000000002,1.0052910052910053
48178,0.54,Ideal,H,VVS1,60.3,56.0,1944,5.33,5.28,3.2,90.05568000000001,1.009469696969697
40,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,56.294722,0.9955654101995567
46209,0.51,Ideal,G,VVS2,61.6,56.0,1750,5.12,5.14,3.16,83.161088,0.9961089494163425
42885,0.5,Ideal,E,SI2,60.7,56.0,1359,5.16,5.19,3.14,84.09045600000002,0.9942196531791907
1372,0.73,Very Good,G,VS2,62.1,59.0,2966,5.68,5.73,3.54,115.21425599999999,0.9912739965095985
15573,1.56,Good,G,SI2,63.7,54.0,6246,7.35,7.31,4.67,250.912095,1.0054719562243501
39724,0.5,Good,E,SI1,63.7,59.0,1090,5.07,5.01,3.21,81.536247,1.0119760479041917
28630,0.26,Ideal,H,VS2,61.3,56.0,434,4.09,4.13,2.52,42.567084,0.9903147699757869
289,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,115.581249,0.9929947460595446
30918,0.34,Ideal,E,VS2,62.1,54.0,745,4.5,4.52,2.8,56.951999999999984,0.9955752212389382
30974,0.4,Very Good,D,VS2,62.3,58.0,746,4.69,4.72,2.93,64.86082400000001,0.9936440677966103
40379,0.51,Ideal,I,VS2,62.1,54.0,1131,5.12,5.16,3.19,84.277248,0.9922480620155039
3495,1.01,Good,I,SI2,61.8,62.0,3399,6.28,6.35,3.9,155.5242,0.988976377952756
10191,0.95,Very Good,E,SI1,61.6,56.0,4738,6.31,6.36,3.9,156.51324,0.992138364779874
17415,1.51,Very Good,J,SI1,63.5,58.0,6976,7.29,7.24,4.61,243.31395600000002,1.0069060773480663
51381,0.7,Premium,H,VS1,61.9,56.0,2367,5.7,5.67,3.52,113.76288000000001,1.0052910052910053
833,0.95,Premium,F,SI2,58.4,57.0,2867,6.49,6.41,3.77,156.835393,1.0124804992199687
26243,2.18,Very Good,I,SI2,58.9,60.0,15684,8.51,8.55,5.02,365.25771000000003,0.9953216374269005
28088,0.3,Very Good,D,SI1,63.4,55.0,662,4.26,4.22,2.69,48.35866799999999,1.009478672985782
20242,1.24,Good,G,VS2,61.3,57.0,8672,6.78,6.88,4.19,195.448416,0.9854651162790699
21380,0.34,Ideal,D,SI1,60.4,57.0,626,4.51,4.53,2.73,55.774719,0.9955849889624723
29482,0.32,Ideal,E,VS2,62.3,56.0,702,4.38,4.41,2.74,52.925292000000006,0.9931972789115646
20404,1.2,Very Good,E,VS2,60.7,59.0,8769,6.79,6.86,4.14,192.83871599999998,0.9897959183673469
42222,0.33,Ideal,E,IF,62.1,55.0,1289,4.43,4.46,2.76,54.531527999999994,0.9932735426008968
36130,0.33,Ideal,E,VS2,60.5,56.0,928,4.51,4.48,2.72,54.95705600000001,1.0066964285714284
23677,1.76,Ideal,I,VS1,62.0,57.0,11722,7.74,7.71,4.79,285.845166,1.0038910505836576
53271,0.66,Ideal,F,VS2,62.4,54.0,2648,5.55,5.61,3.48,108.35154,0.9893048128342246
7666,1.01,Very Good,E,SI2,63.3,57.0,4270,6.39,6.31,4.02,162.09001799999996,1.012678288431062
52469,0.8,Ideal,G,SI2,62.0,56.0,2517,5.98,5.92,3.69,130.631904,1.0101351351351353
29403,0.34,Ideal,F,VS2,60.8,57.0,699,4.51,4.54,2.75,56.30735,0.9933920704845814
51868,0.78,Ideal,J,VS1,61.4,57.0,2426,5.9,5.93,3.63,127.00281,0.9949409780775718
47956,0.7,Very Good,I,SI1,62.7,56.0,1918,5.64,5.68,3.55,113.72495999999998,0.9929577464788732
45013,0.54,Premium,H,VS1,61.3,58.0,1637,5.25,5.22,3.21,87.97004999999999,1.0057471264367817
40005,0.41,Very Good,F,VS2,63.2,57.0,1107,4.76,4.74,3.0,67.6872,1.0042194092827004
16985,1.25,Ideal,H,SI1,62.2,57.0,6783,6.9,6.86,4.28,202.58952000000002,1.0058309037900874
34324,0.32,Ideal,E,VVS1,60.7,55.0,860,4.42,4.45,2.69,52.90961,0.9932584269662921
30241,0.4,Good,F,VS2,64.1,56.0,723,4.65,4.71,3.0,65.70450000000001,0.9872611464968154
21894,1.61,Premium,I,VS1,62.2,58.0,9961,7.46,7.55,4.67,263.02841,0.9880794701986755
25061,1.62,Premium,G,VS2,62.3,58.0,13578,7.49,7.54,4.68,264.301128,0.993368700265252
4487,0.9,Good,E,SI1,60.8,65.0,3625,6.31,6.18,3.8,148.18403999999998,1.0210355987055015
